遮瑕效果超级好，很亮，很白，很喜欢是我想要的,遮瑕效果|超级好,1
比较显白，有一点淡淡的香味，发货速度挺快,发货速度|挺快,1
粉扑好硬。粉液也一般般啦。不过也对的起这个价格。有两个替换装,粉液|对的起,0
不错挺好，快递及时专业,快递|专业,1
挺好用的味道很好闻,味道|很好闻,1
产品质量好，价格实惠，大品牌值得信赖,价格|实惠,1
水分多，速度快挺好的,水分|快,0
商品不错，价格合适，物流给力，还会再买,价格|给力,0
不油腻，卸妆也很干净，双活动买的，很划算,卸妆|很干净,1
保湿效果不错,保湿效果|不错,1
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,美白|挺好,0
非常好？！！！东西很不错！物流很快！！！没压力,物流|很快,1
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,清洁效果|不错,1
用这个牌子有点时间了，感觉不错，所以继续，发货物流超快，还可以,发货物流|超快,1
一直信赖***，化妆品面膜都是***，质量很好，价格便宜，发货很快呀,发货|很快,1
好用，物流很快,物流|很快,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,清洗|很干净,1
好，价格实惠，很好用买一送一超级划算**物流超快！非常满意,价格|超快,0
瓶子很漂亮很喜欢也很好用快递很快态度好,态度|很漂亮,0
美白效果不是太明显，不过价格挺实惠的，用着感觉也挺好，每天一片也不会觉得浪费，挺好的，棒棒哒,美白效果|挺实惠的,0
第三次购买了特喜欢这种香味,香味|特喜欢,1
当天下单当天就到了，快递超赞，宝贝也超级好用，擦上很服帖，修饰肤色，很赞很喜欢，推荐购买,快递|超赞,1
一直在用这个牌子的隔离，很好，粉质细腻。比较好推开。好评,粉质|细腻,1
味道有点点膳？听湿润，我买的自然色感觉有点白，送两个替换芯，挺好,味道|有点点膳,1
物流很快，性价比很高，好评！满意的一次购物,性价比|很高,1
这么的很白，快递很快，就是有点油亮油亮的。感觉有点痒，不会过敏吧,快递|很快,1
物流很快，包装得很漂亮，很满意，用起来一点也不起皮用完在回购,物流|很漂亮,0
用这款隔离三年了，很好推开而且滋润度也很好！价格也不高，会无限回购,价格|很好,0
价格不贵，含量比较少，应该还不错挺好的,价格|不贵,1
个人情况：太干了，整体描述：有点小，上妆效果：一般，持久情况：四五个小时吧，适合肤质：油性,上妆效果|一般,1
一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是,快递小哥|很好,1
包装精美，质量上乘，价格合理，值得购买,价格|精美,0
之前也有买过，这是并不是第一次购买，应该是之前一样吧，价格挺优惠的,价格|挺优惠的,1
东西是好东西，一直在用，效果很好，客服真的忙，问一下能不能优惠一点，半天不带理你的，全程机器人聊天,效果|很好,1
产品和专柜一样呢，使用感不错，重点是号下单大概号就到了，速度太快了，客服服务也很好,速度|很好,0
比较满意，送了两个替换装。**的物流就是快昨天买的今天就到了。快递小哥服务态度比较好,物流|比较好,0
很服帖，精华液也多，用完皮肤滑滑的嫩嫩的,精华液|多,1
卖家发货速度快的，质量好，价格便宜,价格|便宜,1
商品不错，价格合适，物流给力，还会再买,价格|给力,0
面膜很好用，保湿效果很好。物美价廉，快递小哥送货速度快，态度很好,态度|很好,1
气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错,气味|很好闻,1
补水效果不错，物流也很快！一直都用这牌子的东西真的很好用,补水效果|很快,0
用起来方便，上妆很快，很轻薄，总体感觉还可以,上妆|很快,1
老顾客了，用着非常好，客服也很好问什么答什么,客服|很好,1
宝贝有淡斑效果，美白尚不明显,美白|尚不明显,1
商品不错，价格合适，物流给力，还会再买,物流|给力,1
物流很快，一直用这个牌子，质量很好是正品，活动买的很划算,物流|很划算,0
挺好！经济实惠，品牌可以！效果不错，不卡粉！持久清新，有一种惊天地泣鬼神的感觉,效果|不错,1
**发货送货很快，服务态度很好，质量值得信赖，好评,质量|很好,0
味道淡淡的，水分超足，没有刺激感,味道|淡淡的,1
大小刚好，水份足，皮肤白嫩,水份|刚好,0
今天拿了，打开看还送了一些试用装，味道很好闻，只是还没来及用，等用了再追评,味道|很好闻,1
看着很大一瓶，店家发货很快，谢谢,发货|很快,1
刚收到没开始用，期待效果，搞活动，秒的，价格还可以，好用会回头的,价格|还可以,1
物流小哥服务特别好，商家也不错给个五星好评吧！好不好用了再追评吧,物流小哥服务|不错,0
好用，补水效果很好，女神节活动，很实惠,补水效果|很好,1
快递速度快，包装好，挺好,快递速度|快,1
一打开味道太刺鼻了，塑料味太浓了！不敢用了,塑料味|太浓,1
非常满意，没有异味，瓶口方便，使用无异常不适。推荐购买,瓶口|方便,1
一直在使用的品牌物流给力**搞活动时很优惠,物流|很优惠,0
快递迅速服务态度好使用效果非常棒，会一直支持的,快递|迅速,1
**快递速度快，性价比不错，好,快递速度|快,1
个人情况：混合性肌肤，整体描述：还行，滋润及保湿：保湿感觉差一些，有点干，吸收情况：属亚光，吸收还好,保湿|还好,0
超级好用，清洁效果好特别好,清洁效果|特别好,1
连续几年一直在这家店购买，双十一价格比平时优惠很多，希望给老顾客能更优惠,价格|优惠很多,1
第二次购买，物美价廉，效果不错挺好的，配送很快,效果|挺好的,1
上妆效果：容易上装，肤色显得自然，皮肤感觉不干燥,上妆效果|容易上装,1
补水效果不错，物流也很快！一直都用这牌子的东西真的很好用,物流|很快,1
看上去还可以吧，快递超快的，还没用到时用过看效果怎么样，再评价,快递|超快,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,味道|很多,0
扫了下显示正品，活动价很实惠，买了瓶送了张面膜,活动价|很实惠,1
一直用的***哦，保湿很好，会一直种草的,保湿|很好,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,包装|还挺划算的,0
帮同事买的洗面奶，老客户了，反馈还是一如既往的好，发货速度快，包装仔细，日期新鲜,发货速度|仔细,0
补水效果好,补水效果|好,1
当天付款，当天收到货了快递很给力。用过一次，感觉蛮好的，搞活动买的，便宜了很多,活动|很给力,0
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,清洁效果|很干净,1
包装看起来还挺不错，试用了下还可以，香香的味道,包装|香香的,0
买过两次了，很好用的，价格能接受,价格|能接受,1
棒棒哒，一直用这款隔离，效果很好。搞活动买的很划算,效果|很好,1
五星好评，快递和服务都好评,服务|好评,1
比较满意，送了两个替换装。**的物流就是快昨天买的今天就到了。快递小哥服务态度比较好,快递小哥服务态度|比较好,1
用着效果挺不错。买一赠一，很划算，祝店家生意越来越好,效果|挺不错,1
宝贝可以，客服态度极差。导购客服,客服态度|极差,1
第一次用，还可以。价位也非常合适。以后有活动还会继续光顾的,价位|非常合适,1
此次活动超级合适，买了整整一大箱子，送货速度非常快！面膜的精华液很多！很好,送货速度|很多,0
快递速度很快，服务态度很好,服务态度|很快,0
清洁度还不错，保湿效果很好,清洁度|很好,0
粉扑设计的非常棒，盒子颜值很高。用了再来追评,粉扑设计|非常棒,1
到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢,隔离效果|好,1
买给我妈的，包装得到了她的青睐，滋润度对她来说正好，不过有一点点增白效果她不喜欢,滋润度|不喜欢,0
帮同事买的洗面奶，老客户了，反馈还是一如既往的好，发货速度快，包装仔细，日期新鲜,包装|快,0
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,气味|及时,0
味道挺好的速度也快,速度|快,1
快递小哥很热情，送货速度很快，挺好的,送货速度|很快,1
